2021. 07. 06. 22:27:22	Elapsed time: 893 ms	Analyzed sentence: Anyám sápadtan búcsúzott testvéremtől
2021. 07. 06. 22:27:22	Elapsed time: 4 ms	Analyzed word: A (4)
2021. 07. 06. 22:27:23	Elapsed time: 199 ms	Analyzed word: szőke (4)
2021. 07. 06. 22:27:23	Elapsed time: 1 ms	Analyzed word: lány (1)
2021. 07. 06. 22:27:23	Elapsed time: 202 ms	Analyzed word: kottából (1)
2021. 07. 06. 22:27:23	Elapsed time: 123 ms	Analyzed word: játssza (3)
2021. 07. 06. 22:27:23	Elapsed time: 7 ms	Analyzed word: a (4)
2021. 07. 06. 22:27:23	Elapsed time: 224 ms	Analyzed word: dalt (5)
2021. 07. 06. 22:27:23	Elapsed time: 780 ms	Analyzed sentence: A szőke lány kottából játssza a dalt
2021. 07. 06. 22:27:23	Elapsed time: 49 ms	Analyzed word: Gombóccá (1)
2021. 07. 06. 22:27:23	Elapsed time: 121 ms	Analyzed word: gyúrja (2)
2021. 07. 06. 22:27:23	Elapsed time: 10 ms	Analyzed word: a (4)
2021. 07. 06. 22:27:23	Elapsed time: 69 ms	Analyzed word: húst (1)
2021. 07. 06. 22:27:23	Elapsed time: 254 ms	Analyzed sentence: Gombóccá gyúrja a húst
2021. 07. 06. 22:27:24	Elapsed time: 124 ms	Analyzed word: Fényesre (2)
2021. 07. 06. 22:27:24	Elapsed time: 587 ms	Analyzed word: csiszolta (3)
2021. 07. 06. 22:27:24	Elapsed time: 4 ms	Analyzed word: az (2)
2021. 07. 06. 22:27:24	Elapsed time: 140 ms	Analyzed word: autót (1)
2021. 07. 06. 22:27:24	Elapsed time: 860 ms	Analyzed sentence: Fényesre csiszolta az autót
2021. 07. 06. 22:27:24	Elapsed time: 4 ms	Analyzed word: A (4)
2021. 07. 06. 22:27:24	Elapsed time: 50 ms	Analyzed word: férfi (1)
2021. 07. 06. 22:27:24	Elapsed time: 88 ms	Analyzed word: rosszul (4)
2021. 07. 06. 22:27:24	Elapsed time: 22 ms	Analyzed word: bánik (3)
2021. 07. 06. 22:27:25	Elapsed time: 671 ms	Analyzed word: gyerekével (4)
2021. 07. 06. 22:27:25	Elapsed time: 848 ms	Analyzed sentence: A férfi rosszul bánik gyerekével
